Protein	Gene	ProteinName	EntrezID	ProteinRef	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	Cal33	HSC6	CMA	Species
O15439	ABCC4	ATP binding cassette subfamily C member 4	10257	O15439	Cal33-HSC6	-1.36279786598671	0.00787196039504501	0.0247671164998254	no	-1.36279786598671	0.0247671164998254	3	4	HSC6	human
O15440	ABCC5	ATP binding cassette subfamily C member 5	10057	O15440	Cal33-HSC6	-0.024554830200483	0.862996558335799	0.904768206039244	no	-0.024554830200483	0.904768206039244	4	4	HSC6	human
O15446	POLR1G	RNA polymerase I subunit G	10849	O15446	Cal33-HSC6	0.881579628543664	0.0103817291026034	0.0299144121834291	no	0.881579628543664	0.0299144121834291	4	4	Cal33	human
O15504	NUP42	nucleoporin 42	11097	O15504	Cal33-HSC6	2.3181367313521	2.46546465465514e-05	0.000638214590278208	no	2.3181367313521	0.000638214590278208	4	3	Cal33	human
O15523	DDX3Y	DEAD-box helicase 3 Y-linked	8653	O15523	Cal33-HSC6	-0.746634222122134	0.0153146918683116	0.0402326558652674	no	-0.746634222122134	0.0402326558652674	4	4	HSC6	human
O15525	MAFG	MAF bZIP transcription factor G	4097	O15525	Cal33-HSC6	-1.90207821391784	0.000326746177838233	0.00281940333397543	no	-1.90207821391784	0.00281940333397543	4	4	HSC6	human
O15530	PDPK1	3-phosphoinositide dependent protein kinase 1	5170	O15530	Cal33-HSC6	0.748608084902517	0.129192562530714	0.206086733014927	no	0.748608084902517	0.206086733014927	4	4	Cal33	human
O15541	RNF113A	ring finger protein 113A	7737	O15541	Cal33-HSC6	0.500849036982753	0.536702990767479	0.629879219536916	no	0.500849036982753	0.629879219536916	4	3	Cal33	human
O43150	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	8853	O43150	Cal33-HSC6	1.01748535874659	0.10254009728139	0.172289007780446	no	1.01748535874659	0.172289007780446	4	4	Cal33	human
O43156	TTI1	TELO2 interacting protein 1	9675	O43156	Cal33-HSC6	0.506222656914283	0.454056866499546	0.553914583499829	no	0.506222656914283	0.553914583499829	2	3	Cal33	human
O43159	RRP8	ribosomal RNA processing 8	23378	O43159	Cal33-HSC6	0.295091996996974	0.132611662731238	0.20996297072912	no	0.295091996996974	0.20996297072912	4	4	Cal33	human
O43166	SIPA1L1	signal induced proliferation associated 1 like 1	26037	O43166	Cal33-HSC6	-0.293253500147794	0.0386840752973281	0.0809264755234511	no	-0.293253500147794	0.0809264755234511	4	4	HSC6	human
O43169	CYB5B	cytochrome b5 type B	80777	O43169	Cal33-HSC6	-0.289490998687583	0.538609480992054	0.630953858527851	no	-0.289490998687583	0.630953858527851	4	4	HSC6	human
O43172	PRPF4	pre-mRNA processing factor 4	9128	O43172	Cal33-HSC6	-0.397188958700345	0.346425402498787	0.44692807194333	no	-0.397188958700345	0.44692807194333	3	2	HSC6	human
O43189	PHF1	PHD finger protein 1	5252	O43189	Cal33-HSC6	-0.516652916714669	0.0088156549322711	0.0266236619952067	no	-0.516652916714669	0.0266236619952067	4	4	HSC6	human
O43194	GPR39	G protein-coupled receptor 39	2863	O43194	Cal33-HSC6	-Inf	NA	0	yes	-7.27414841738995	0.0481021	0	4	HSC6	human
O43237	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1783	O43237	Cal33-HSC6	-0.1228135985761	0.517665629645812	0.613187263687599	no	-0.1228135985761	0.613187263687599	4	4	HSC6	human
O43255	SIAH2	siah E3 ubiquitin protein ligase 2	6478	O43255	Cal33-HSC6	-0.969248662331935	0.0416633784961258	0.0859172261215444	no	-0.969248662331935	0.0859172261215444	3	2	HSC6	human
O43290	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP	9092	O43290	Cal33-HSC6	-0.168196604511988	0.62620473742625	0.709297717525856	no	-0.168196604511988	0.709297717525856	3	3	HSC6	human
O43295	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	9901	O43295	Cal33-HSC6	Inf	NA	0	yes	6.70095927729207	0.0377323	4	0	Cal33	human
O43296	ZNF264	zinc finger protein 264	9422	O43296	Cal33-HSC6	-Inf	NA	0	yes	-4.67669743471208	0.0333417	0	3	HSC6	human
O43303	CCP110	centriolar coiled-coil protein 110	9738	O43303	Cal33-HSC6	0.177673346835269	0.474136300286665	0.573357379457935	no	0.177673346835269	0.573357379457935	4	4	Cal33	human
O43306	ADCY6	adenylate cyclase 6	112	O43306	Cal33-HSC6	-0.733413855224685	0.0290197017155285	0.0652994560157192	no	-0.733413855224685	0.0652994560157192	2	3	HSC6	human
O43314	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	23262	O43314	Cal33-HSC6	0.762415171850247	0.0268449217146163	0.0613598210619801	no	0.762415171850247	0.0613598210619801	4	4	Cal33	human
O43318	MAP3K7	mitogen-activated protein kinase kinase kinase 7	6885	O43318	Cal33-HSC6	0.601357944159172	0.00870200388154152	0.0264643520423942	no	0.601357944159172	0.0264643520423942	4	4	Cal33	human
O43353	RIPK2	receptor interacting serine/threonine kinase 2	8767	O43353	Cal33-HSC6	1.46821725085375	0.0199259244558487	0.0490673963398471	no	1.46821725085375	0.0490673963398471	4	3	Cal33	human
O43374	RASA4	RAS p21 protein activator 4	10156	O43374	Cal33-HSC6	Inf	NA	0	yes	6.31054607056373	0.0189708	4	0	Cal33	human
O43379	WDR62	WD repeat domain 62	284403	O43379	Cal33-HSC6	0.878038714450962	0.160416781333549	0.243338271446413	no	0.878038714450962	0.243338271446413	4	1	Cal33	human
O43390	HNRNPR	heterogeneous nuclear ribonucleoprotein R	10236	O43390	Cal33-HSC6	0.0358957585738428	0.778343006973593	0.832422492340114	no	0.0358957585738428	0.832422492340114	4	4	Cal33	human
O43395	PRPF3	pre-mRNA processing factor 3	9129	O43395	Cal33-HSC6	-0.989544580670407	0.000524334335301191	0.00386352818677146	no	-0.989544580670407	0.00386352818677146	4	4	HSC6	human
O43399	TPD52L2	TPD52 like 2	7165	O43399	Cal33-HSC6	-0.494963394984461	0.0393963732898552	0.0821894856339154	no	-0.494963394984461	0.0821894856339154	4	4	HSC6	human
O43426	SYNJ1	synaptojanin 1	8867	O43426	Cal33-HSC6	-1.7760200631489	0.0201750865244139	0.0494747232457531	no	-1.7760200631489	0.0494747232457531	4	2	HSC6	human
O43432	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	8672	O43432	Cal33-HSC6	0.0879913695631782	0.589579922198342	0.676476566587215	no	0.0879913695631782	0.676476566587215	4	4	Cal33	human
O43463	SUV39H1	suppressor of variegation 3-9 homolog 1	6839	O43463	Cal33-HSC6	0.539037668287955	0.0676994562365185	0.125249894629329	no	0.539037668287955	0.125249894629329	4	4	Cal33	human
O43474	KLF4	Kruppel like factor 4	9314	O43474	Cal33-HSC6	-1.15297384974335	0.0129122254046683	0.0351990802127259	no	-1.15297384974335	0.0351990802127259	1	3	HSC6	human
O43482	OIP5	Opa interacting protein 5	11339	O43482	Cal33-HSC6	-1.35803788207469	7.19895909639945e-06	0.000336776883461917	no	-1.35803788207469	0.000336776883461917	4	4	HSC6	human
O43491	EPB41L2	erythrocyte membrane protein band 4.1 like 2	2037	O43491	Cal33-HSC6	-1.38387972062195	0.00140382763175273	0.00763599474339205	no	-1.38387972062195	0.00763599474339205	4	4	HSC6	human
O43493	TGOLN2	trans-golgi network protein 2	10618	O43493	Cal33-HSC6	0.272639514472626	0.29739320674934	0.395695766941036	no	0.272639514472626	0.395695766941036	4	4	Cal33	human
O43502	RAD51C	RAD51 paralog C	5889	O43502	Cal33-HSC6	3.93594022392257	0.0539709682407272	0.105749884848293	no	3.93594022392257	0.105749884848293	3	1	Cal33	human
O43524	FOXO3	forkhead box O3	2309	O43524	Cal33-HSC6	0.426714885727292	0.218543620543634	0.311098115045778	no	0.426714885727292	0.311098115045778	4	4	Cal33	human
O43572	AKAP10	A-kinase anchoring protein 10	11216	O43572	Cal33-HSC6	0.239012802534567	0.738872073447614	0.803198594010653	no	0.239012802534567	0.803198594010653	4	4	Cal33	human
O43583	DENR	density regulated re-initiation and release factor	8562	O43583	Cal33-HSC6	-Inf	NA	0	yes	-7.83279749741343	0.0210607	0	4	HSC6	human
O43598	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	10591	O43598	Cal33-HSC6	0.829729820239025	0.135319561363924	0.213507177097489	no	0.829729820239025	0.213507177097489	2	2	Cal33	human
O43609	SPRY1	sprouty RTK signaling antagonist 1	10252	O43609	Cal33-HSC6	Inf	NA	0	yes	6.90374244894385	0.0130537	4	0	Cal33	human
O43639	NCK2	NCK adaptor protein 2	8440	O43639	Cal33-HSC6	0.538423661459636	0.0371401025559401	0.0785219698128243	no	0.538423661459636	0.0785219698128243	4	3	Cal33	human
O43663	PRC1	protein regulator of cytokinesis 1	9055	O43663	Cal33-HSC6	-1.11371933728761	0.000448049779044224	0.00349654533450198	no	-1.11371933728761	0.00349654533450198	3	4	HSC6	human
O43683	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	699	O43683	Cal33-HSC6	0.689549241024364	0.0805572445828251	0.142734706038795	no	0.689549241024364	0.142734706038795	4	3	Cal33	human
O43684	BUB3	BUB3 mitotic checkpoint protein	9184	O43684	Cal33-HSC6	-1.90933046672767	0.00158249927344833	0.00817980905410724	no	-1.90933046672767	0.00817980905410724	4	4	HSC6	human
O43709	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor	114049	O43709	Cal33-HSC6	Inf	NA	0	yes	5.93269798650693	0.0325588	4	0	Cal33	human
O43719	HTATSF1	HIV-1 Tat specific factor 1	27336	O43719	Cal33-HSC6	-2.74493950517138	0.000163046171057779	0.00187414804566054	no	-2.74493950517138	0.00187414804566054	4	4	HSC6	human
O43741	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	5565	O43741	Cal33-HSC6	0.226205545485562	0.685953533001622	0.7588867439462	no	0.226205545485562	0.7588867439462	3	4	Cal33	human
O43760	SYNGR2	synaptogyrin 2	9144	O43760	Cal33-HSC6	-0.650423364896876	0.0302121487612221	0.0675530067807102	no	-0.650423364896876	0.0675530067807102	3	4	HSC6	human
O43765	SGTA	small glutamine rich tetratricopeptide repeat containing alpha	6449	O43765	Cal33-HSC6	0.181370752537709	0.485917958043897	0.58339471282495	no	0.181370752537709	0.58339471282495	4	4	Cal33	human
O43808	SLC25A17	solute carrier family 25 member 17	10478	O43808	Cal33-HSC6	0.584967587496824	0.597534577778948	0.684370538002939	no	0.584967587496824	0.684370538002939	4	3	Cal33	human
O43815	STRN	striatin	6801	O43815	Cal33-HSC6	0.12327046704366	0.646765088432877	0.72664080507067	no	0.12327046704366	0.72664080507067	4	4	Cal33	human
O43818	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	9136	O43818	Cal33-HSC6	-Inf	NA	0	yes	-5.86531666800308	0.0369731	0	3	HSC6	human
O43823	AKAP8	A-kinase anchoring protein 8	10270	O43823	Cal33-HSC6	-0.787794532209214	0.0839842694775164	0.148043885233529	no	-0.787794532209214	0.148043885233529	1	4	HSC6	human
O43847	NRDC	nardilysin convertase	4898	O43847	Cal33-HSC6	0.198846380662334	0.684740013418662	0.758071002338324	no	0.198846380662334	0.758071002338324	4	4	Cal33	human
O43896	KIF1C	kinesin family member 1C	10749	O43896	Cal33-HSC6	0.685196037905867	0.0275739149716516	0.0626215016189292	no	0.685196037905867	0.0626215016189292	4	4	Cal33	human
O43900	PRICKLE3	prickle planar cell polarity protein 3	4007	O43900	Cal33-HSC6	1.79469483657452	0.00156472338225178	0.00816126332685846	no	1.79469483657452	0.00816126332685846	4	3	Cal33	human
O43933	PEX1	peroxisomal biogenesis factor 1	5189	O43933	Cal33-HSC6	-0.201158380707813	0.543160338418079	0.635116605774206	no	-0.201158380707813	0.635116605774206	4	4	HSC6	human
O60218	AKR1B10	aldo-keto reductase family 1 member B10	57016	O60218	Cal33-HSC6	Inf	NA	0	yes	6.02262221094375	0.0244607	4	0	Cal33	human
O60231	DHX16	DEAH-box helicase 16	8449	O60231	Cal33-HSC6	-2.25575681387975	2.21472307588844e-05	0.000602707544754597	no	-2.25575681387975	0.000602707544754597	4	4	HSC6	human
O60237	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	4660	O60237	Cal33-HSC6	Inf	NA	0	yes	5.62858250683142	0.0477048	3	0	Cal33	human
O60238	BNIP3L	BCL2 interacting protein 3 like	665	O60238	Cal33-HSC6	0.43884489770218	0.543077453327765	0.635116605774206	no	0.43884489770218	0.635116605774206	1	3	Cal33	human
O60244	MED14	mediator complex subunit 14	9282	O60244	Cal33-HSC6	-0.941945961756743	9.15499681881649e-05	0.00137497688071282	no	-0.941945961756743	0.00137497688071282	4	4	HSC6	human
O60245	PCDH7	protocadherin 7	5099	O60245	Cal33-HSC6	-2.87964239662827	8.71647020161959e-06	0.000360431702882555	no	-2.87964239662827	0.000360431702882555	4	4	HSC6	human
O60248	SOX15	SRY-box transcription factor 15	6665	O60248	Cal33-HSC6	-0.901727852615006	0.00283771544686418	0.0120792593353149	no	-0.901727852615006	0.0120792593353149	4	4	HSC6	human
O60256	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2	5636	O60256	Cal33-HSC6	0.734417543761973	0.0921317990416104	0.158395058395512	no	0.734417543761973	0.158395058395512	4	4	Cal33	human
O60264	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	8467	O60264	Cal33-HSC6	-0.546950047001447	0.116761371713424	0.190357505138527	no	-0.546950047001447	0.190357505138527	4	4	HSC6	human
O60271	SPAG9	sperm associated antigen 9	9043	O60271	Cal33-HSC6	0.188066766553353	0.386411338650712	0.48726087218371	no	0.188066766553353	0.48726087218371	4	4	Cal33	human
O60287	URB1	URB1 ribosome biogenesis homolog	9875	O60287	Cal33-HSC6	-1.62993738154338	0.103385651441981	0.173343820005934	no	-1.62993738154338	0.173343820005934	3	4	HSC6	human
O60292	SIPA1L3	signal induced proliferation associated 1 like 3	23094	O60292	Cal33-HSC6	-0.397020545355314	0.036821859558084	0.0780564586104791	no	-0.397020545355314	0.0780564586104791	4	4	HSC6	human
O60293	ZFC3H1	zinc finger C3H1-type containing	196441	O60293	Cal33-HSC6	-1.31262823984356	3.30845272733526e-05	0.000747100247080531	no	-1.31262823984356	0.000747100247080531	4	4	HSC6	human
O60303	KATNIP	katanin interacting protein	23247	O60303	Cal33-HSC6	-0.494008481811575	0.0754801983605717	0.135568657899578	no	-0.494008481811575	0.135568657899578	3	4	HSC6	human
O60318	MCM3AP	minichromosome maintenance complex component 3 associated protein	8888	O60318	Cal33-HSC6	0.903755456626808	0.00405820306582383	0.0154746330078839	no	0.903755456626808	0.0154746330078839	4	4	Cal33	human
O60333	KIF1B	kinesin family member 1B	23095	O60333	Cal33-HSC6	-0.294574163977662	0.499843681956576	0.595622112032088	no	-0.294574163977662	0.595622112032088	4	4	HSC6	human
O60336	MAPKBP1	mitogen-activated protein kinase binding protein 1	23005	O60336	Cal33-HSC6	-3.63936051214579	4.17573982178787e-05	0.000855026172860818	no	-3.63936051214579	0.000855026172860818	4	4	HSC6	human
O60341	KDM1A	lysine demethylase 1A	23028	O60341	Cal33-HSC6	-0.666665412336356	0.000721940579050173	0.00481899120271646	no	-0.666665412336356	0.00481899120271646	4	4	HSC6	human
O60343	TBC1D4	TBC1 domain family member 4	9882	O60343	Cal33-HSC6	1.29045991155576	0.00139033882841311	0.00758020347545776	no	1.29045991155576	0.00758020347545776	4	4	Cal33	human
O60353	FZD6	frizzled class receptor 6	8323	O60353	Cal33-HSC6	0.0753862062356532	0.666370780882105	0.74264073025153	no	0.0753862062356532	0.74264073025153	4	4	Cal33	human
O60437	PPL	periplakin	5493	O60437	Cal33-HSC6	0.958343194469201	0.00103314718392067	0.00612293435966959	no	0.958343194469201	0.00612293435966959	4	4	Cal33	human
O60447	EVI5	ecotropic viral integration site 5	7813	O60447	Cal33-HSC6	-3.3045813225654	0.00164320704057008	0.00836340847367167	no	-3.3045813225654	0.00836340847367167	1	4	HSC6	human
O60487	MPZL2	myelin protein zero like 2	10205	O60487	Cal33-HSC6	-0.396097341650259	0.254097482677189	0.34902777603286	no	-0.396097341650259	0.34902777603286	4	4	HSC6	human
O60493	SNX3	sorting nexin 3	8724	O60493	Cal33-HSC6	0.0300926944558715	0.937672298947732	0.957520397642584	no	0.0300926944558715	0.957520397642584	4	4	Cal33	human
O60503	ADCY9	adenylate cyclase 9	115	O60503	Cal33-HSC6	-0.461981385196052	0.20315723533109	0.29362353031965	no	-0.461981385196052	0.29362353031965	3	3	HSC6	human
O60504	SORBS3	sorbin and SH3 domain containing 3	10174	O60504	Cal33-HSC6	1.18599320954821	0.0144849326359813	0.0383375108170942	no	1.18599320954821	0.0383375108170942	4	4	Cal33	human
O60524	NEMF	nuclear export mediator factor	9147	O60524	Cal33-HSC6	0.18304381926042	0.595126350821457	0.682594488838443	no	0.18304381926042	0.682594488838443	4	4	Cal33	human
O60563	CCNT1	cyclin T1	904	O60563	Cal33-HSC6	Inf	NA	0	yes	4.84748099259338	0.0190076	3	0	Cal33	human
O60566	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	701	O60566	Cal33-HSC6	-0.940205998256793	0.0691586793193828	0.12676498169719	no	-0.940205998256793	0.12676498169719	4	4	HSC6	human
O60583	CCNT2	cyclin T2	905	O60583	Cal33-HSC6	-0.0916364488833888	0.843351842580223	0.888267372403384	no	-0.0916364488833888	0.888267372403384	4	4	HSC6	human
O60610	DIAPH1	diaphanous related formin 1	1729	O60610	Cal33-HSC6	-1.38715143099022	0.0029135420656039	0.0122435806989683	no	-1.38715143099022	0.0122435806989683	3	4	HSC6	human
O60658	PDE8A	phosphodiesterase 8A	5151	O60658	Cal33-HSC6	-0.211560647668393	0.871456278734973	0.911835948567912	no	-0.211560647668393	0.911835948567912	2	3	HSC6	human
O60673	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	5980	O60673	Cal33-HSC6	0.198208685456949	0.6200921761778	0.70387410611945	no	0.198208685456949	0.70387410611945	3	4	Cal33	human
O60674	JAK2	Janus kinase 2	3717	O60674	Cal33-HSC6	-0.189718453007992	0.5523122278698	0.642279815024632	no	-0.189718453007992	0.642279815024632	2	2	HSC6	human
O60675	MAFK	MAF bZIP transcription factor K	7975	O60675	Cal33-HSC6	0.122100309042964	0.773418724992164	0.829132933264592	no	0.122100309042964	0.829132933264592	4	4	Cal33	human
O60684	KPNA6	karyopherin subunit alpha 6	23633	O60684	Cal33-HSC6	0.868879023820138	0.00500282143842634	0.0177778833258365	no	0.868879023820138	0.0177778833258365	4	4	Cal33	human
O60716	CTNND1	catenin delta 1	1500	O60716	Cal33-HSC6	-1.13069832486038	1.51689284688672e-07	9.33253130186123e-05	no	-1.13069832486038	9.33253130186123e-05	4	4	HSC6	human
O60749	SNX2	sorting nexin 2	6643	O60749	Cal33-HSC6	-0.722221370013664	0.111606047461485	0.184216513798532	no	-0.722221370013664	0.184216513798532	3	4	HSC6	human
O60762	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	8813	O60762	Cal33-HSC6	-0.988731254373036	0.00411632427937958	0.0156193798157206	no	-0.988731254373036	0.0156193798157206	4	4	HSC6	human
O60763	USO1	USO1 vesicle transport factor	8615	O60763	Cal33-HSC6	0.53889135425243	0.2952507374208	0.393808439025322	no	0.53889135425243	0.393808439025322	4	4	Cal33	human
O60765	ZNF354A	zinc finger protein 354A	6940	O60765	Cal33-HSC6	0.411118588158568	0.280662425367595	0.378175692920196	no	0.411118588158568	0.378175692920196	4	4	Cal33	human
O60784	TOM1	target of myb1 membrane trafficking protein	10043	O60784	Cal33-HSC6	-0.392612723016485	0.200193069709573	0.289997604165278	no	-0.392612723016485	0.289997604165278	4	3	HSC6	human
O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	5208	O60825	Cal33-HSC6	1.02633725958854	0.000459589625017465	0.00354318006308864	no	1.02633725958854	0.00354318006308864	4	4	Cal33	human
O60828	PQBP1	polyglutamine binding protein 1	10084	O60828	Cal33-HSC6	0.663759028733964	0.120362597636397	0.194732983167829	no	0.663759028733964	0.194732983167829	4	4	Cal33	human
O60832	DKC1	dyskerin pseudouridine synthase 1	1736	O60832	Cal33-HSC6	-1.80605061650214	1.89798639027572e-08	3.02159433331894e-05	no	-1.80605061650214	3.02159433331894e-05	4	4	HSC6	human
O60841	EIF5B	eukaryotic translation initiation factor 5B	9669	O60841	Cal33-HSC6	-1.24159439837005	1.64979107486474e-05	0.000518969631714818	no	-1.24159439837005	0.000518969631714818	4	4	HSC6	human
O60869	EDF1	endothelial differentiation related factor 1	8721	O60869	Cal33-HSC6	0.71573549634404	0.00718652017061361	0.0231995790406358	no	0.71573549634404	0.0231995790406358	4	3	Cal33	human
O60885	BRD4	bromodomain containing 4	23476	O60885	Cal33-HSC6	-0.188514394905237	0.0895124621478871	0.154960544119733	no	-0.188514394905237	0.154960544119733	4	4	HSC6	human
O60930	RNASEH1	ribonuclease H1	246243	O60930	Cal33-HSC6	-0.767149397559303	0.133221991417019	0.210615104603669	no	-0.767149397559303	0.210615104603669	4	4	HSC6	human
O60934	NBN	nibrin	4683	O60934	Cal33-HSC6	0.759019651860605	0.0021320267381415	0.00998290166800374	no	0.759019651860605	0.00998290166800374	4	4	Cal33	human
O75044	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	23380	O75044	Cal33-HSC6	-0.612254428299912	0.117854818769392	0.191649511216417	no	-0.612254428299912	0.191649511216417	4	4	HSC6	human
